,danceability,energy,speechiness,acousticness,liveness,valence,tempo
423,0.538,0.261,0.0364,0.439,0.0887,0.528,102.153
424,0.443,0.365,0.0315,0.592,0.0886,0.398,133.156
425,0.562,0.192,0.0412,0.24,0.118,0.313,116.015
426,0.466,0.763,0.0391,0.0542,0.119,0.473,123.539
427,0.691,0.762,0.0367,0.462,0.0804,0.957,128.111
428,0.776,0.778,0.052,0.197,0.0854,0.842,128.465
429,0.312,0.497,0.0309,0.587,0.246,0.546,94.311
430,0.56,0.434,0.0729,0.55,0.346,0.664,112.803
431,0.516,0.15,0.0272,0.13,0.122,0.205,97.398
432,0.768,0.864,0.0324,0.101,0.162,0.891,110.008
434,0.538,0.366,0.0325,0.498,0.094,0.293,142.811
435,0.572,0.418,0.0349,0.635,0.0961,0.694,104.566
436,0.538,0.231,0.032,0.425,0.118,0.374,159.28
437,0.578,0.434,0.0471,0.802,0.277,0.75,106.364
438,0.701,0.68,0.0264,0.303,0.159,0.704,90.607
439,0.584,0.367,0.0328,0.55,0.0818,0.588,120.175
440,0.547,0.698,0.0384,0.218,0.211,0.574,87.467
441,0.506,0.442,0.0276,0.0869,0.0846,0.532,105.826
442,0.461,0.488,0.0287,0.115,0.128,0.33,145.778
443,0.381,0.16,0.0447,0.971,0.772,0.178,143.702
444,0.739,0.554,0.0363,0.39,0.0785,0.978,137.013
445,0.691,0.312,0.0321,0.733,0.0763,0.538,127.772
446,0.54,0.363,0.0365,0.668,0.133,0.335,118.229
447,0.519,0.441,0.0353,0.0204,0.076,0.25,81.334
448,0.535,0.793,0.0518,0.0409,0.487,0.558,131.798
449,0.566,0.585,0.032,0.106,0.23,0.75,126.1
450,0.413,0.748,0.0557,0.167,0.219,0.751,154.254
451,0.394,0.151,0.0359,0.976,0.0664,0.31,178.051
452,0.653,0.369,0.0289,0.867,0.0796,0.527,137.213
453,0.496,0.863,0.0381,0.0046,0.639,0.243,110.018
454,0.394,0.622,0.0336,0.213,0.0892,0.342,126.844
455,0.625,0.758,0.0463,0.512,0.153,0.695,119.719
456,0.587,0.713,0.0278,0.191,0.141,0.612,150.056
457,0.46,0.505,0.0266,0.42,0.134,0.22,135.757
458,0.439,0.422,0.0409,0.0148,0.0697,0.551,81.833
459,0.395,0.252,0.0301,0.8,0.101,0.126,177.679
460,0.524,0.503,0.0245,0.184,0.264,0.436,89.497
461,0.792,0.293,0.0377,0.864,0.123,0.548,102.05
462,0.72,0.521,0.0302,0.705,0.214,0.823,106.055
